"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
12.5,0,-148,-24.2742853573921
12.5,0,-147,-15.9179803691664
12.5,0,-146,-12.1262229478178
12.5,0,-145,-9.83774038620101
12.5,0,-144,-8.34091383918313
12.5,0,-143,-7.35486150678439
12.5,0,-142,-6.74114372025181
12.5,0,-141,-6.42313284630911
12.5,0,-140,-6.35620420857637
12.5,0,-139,-6.51489782318296
12.5,0,-138,-6.88708252582008
12.5,0,-137,-7.47167025358994
12.5,0,-136,-8.27874034143393
12.5,0,-135,-9.33214065551263
12.5,0,-134,-10.6759000818711
12.5,0,-133,-12.3883767495716
12.5,0,-132,-14.6156212677673
12.5,0,-131,-17.6641087331002
12.5,0,-130,-22.3493763553382
12.5,0,-129,-32.6890417145594
12.5,0,-128,-31.1805387604745
12.5,0,-127,-22.4471403209754
12.5,0,-126,-18.4303450636162
12.5,0,-125,-15.9007829414212
12.5,0,-124,-14.1232565396777
12.5,0,-123,-12.8071240231041
12.5,0,-122,-11.8066413566905
12.5,0,-121,-11.0377593569648
12.5,0,-120,-10.4472350586431
12.5,0,-119,-9.9989562697065
12.5,0,-118,-9.66711086306409
12.5,0,-117,-9.43245823378238
12.5,0,-116,-9.28014928595983
12.5,0,-115,-9.198379096145
12.5,0,-114,-9.17751445052605
12.5,0,-113,-9.2095052826297
12.5,0,-112,-9.28747239380731
12.5,0,-111,-9.40540797549559
12.5,0,-110,-9.55795001276497
12.5,0,-109,-9.74020593614426
12.5,0,-108,-9.94760956263581
12.5,0,-107,-10.1758008804299
12.5,0,-106,-10.4205219383843
12.5,0,-105,-10.6775247815044
12.5,0,-104,-10.9424894957198
12.5,0,-103,-11.2109522744072
12.5,0,-102,-11.4782451576818
12.5,0,-101,-11.7394507833063
12.5,0,-100,-11.9893770788765
12.5,0,-99,-12.2225581508532
12.5,0,-98,-12.4332883851292
12.5,0,-97,-12.6156965417365
12.5,0,-96,-12.7638649187179
12.5,0,-95,-12.8719950696457
12.5,0,-94,-12.9346159690895
12.5,0,-93,-12.9468233503244
12.5,0,-92,-12.9045313177331
12.5,0,-91,-12.804711047287
12.5,0,-90,-12.6455884837849
12.5,0,-89,-12.4267750434662
12.5,0,-88,-12.1493128610549
12.5,0,-87,-11.8156278759177
12.5,0,-86,-11.4293974052719
12.5,0,-85,-10.9953506106094
12.5,0,-84,-10.5190277991424
12.5,0,-83,-10.0065266097869
12.5,0,-82,-9.46426023874758
12.5,0,-81,-8.89874658332737
12.5,0,-80,-8.31643957545875
12.5,0,-79,-7.72360682289474
12.5,0,-78,-7.12625210342112
12.5,0,-77,-6.53007768497595
12.5,0,-76,-5.9404797545809
12.5,0,-75,-5.36257002304857
12.5,0,-74,-4.80121734507851
12.5,0,-73,-4.26110453012749
12.5,0,-72,-3.74679711541233
12.5,0,-71,-3.2628225599394
12.5,0,-70,-2.81376005083071
12.5,0,-69,-2.40434295023455
12.5,0,-68,-2.039578015515
12.5,0,-67,-1.72488818330428
12.5,0,-66,-1.46628938893625
12.5,0,-65,-1.27061737900174
12.5,0,-64,-1.14582912131377
12.5,0,-63,-1.10141767840472
12.5,0,-62,-1.14900394885435
12.5,0,-61,-1.30321279966365
12.5,0,-60,-1.58302445601794
12.5,0,-59,-2.01395883764923
12.5,0,-58,-2.63180858037279
12.5,0,-57,-3.48947426842438
12.5,0,-56,-4.67064434695286
12.5,0,-55,-6.32068807685374
12.5,0,-54,-8.72986258355765
12.5,0,-53,-12.6329744549687
12.5,0,-52,-21.2590002876814
12.5,0,-51,-22.6660484791501
12.5,0,-50,-12.2304565512403
12.5,0,-49,-7.45440658544518
12.5,0,-48,-4.31990474549917
12.5,0,-47,-2.01104695892867
12.5,0,-46,-0.221002011834672
12.5,0,-45,1.19662502803515
12.5,0,-44,2.32052404495248
12.5,0,-43,3.19504258402159
12.5,0,-42,3.84433376192662
12.5,0,-41,4.2787686302947
12.5,0,-40,4.49753734352155
12.5,0,-39,4.48877362397247
12.5,0,-38,4.22726932370149
12.5,0,-37,3.66863892157498
12.5,0,-36,2.73648170061984
12.5,0,-35,1.29257316661348
12.5,0,-34,-0.94376450909726
12.5,0,-33,-4.68395683554909
12.5,0,-32,-12.9890932317724
12.5,0,-31,-15.2649904771985
12.5,0,-30,-4.48214127822216
12.5,0,-29,0.315454404248807
12.5,0,-28,3.39728264535935
12.5,0,-27,5.60219831557458
12.5,0,-26,7.24031527054767
12.5,0,-25,8.45533890956701
12.5,0,-24,9.31920370698883
12.5,0,-23,9.86481580440539
12.5,0,-22,10.0980056344449
12.5,0,-21,9.99943312007287
12.5,0,-20,9.51792063243675
12.5,0,-19,8.54973550553417
12.5,0,-18,6.88204135349706
12.5,0,-17,4.00831265521468
12.5,0,-16,-1.81304597709505
12.5,0,-15,-19.2503666863853
12.5,0,-14,1.31591125668545
12.5,0,-13,7.36670141751136
12.5,0,-12,11.1322548874167
12.5,0,-11,13.8742707408687
12.5,0,-10,16.0114332447825
12.5,0,-9,17.7352075155407
12.5,0,-8,19.1491835318102
12.5,0,-7,20.3155442913889
12.5,0,-6,21.2742685583179
12.5,0,-5,22.0522538345957
12.5,0,-4,22.6680948758244
12.5,0,-3,23.1347671193254
12.5,0,-2,23.4612055832135
12.5,0,-1,23.6532540786979
12.5,0,0,23.7142257669691
12.5,0,1,23.6451997709462
12.5,0,2,23.4451140465192
12.5,0,3,23.1106724953871
12.5,0,4,22.6360483370497
12.5,0,5,22.0123235349847
12.5,0,6,21.2265395664155
12.5,0,7,20.2601185040099
12.5,0,8,19.0861795669701
12.5,0,9,17.6647605827823
12.5,0,10,15.9336949908869
12.5,0,11,13.7894090687792
12.5,0,12,11.04045374609
12.5,0,13,7.26816056034514
12.5,0,14,1.21084596615966
12.5,0,15,-19.361725910177
12.5,0,16,-1.93045376625453
12.5,0,17,3.88511614615544
12.5,0,18,6.75333001502531
12.5,0,19,8.41579679664418
12.5,0,20,9.37905505879665
12.5,0,21,9.85595366583824
12.5,0,22,9.95023714704642
12.5,0,23,9.71309433202548
12.5,0,24,9.16387578884761
12.5,0,25,8.29676081955833
12.5,0,26,7.07885221518586
12.5,0,27,5.43822358763011
12.5,0,28,3.23117673496264
12.5,0,29,0.147604069619147
12.5,0,30,-4.65134397792116
12.5,0,31,-15.4351491840734
12.5,0,32,-13.1598083234297
12.5,0,33,-4.85482648809377
12.5,0,34,-1.11438578552817
12.5,0,35,1.1226032060348
12.5,0,36,2.56756486942238
12.5,0,37,3.50117476283716
12.5,0,38,4.06165395359894
12.5,0,39,4.32539856590739
12.5,0,40,4.33678835524325
12.5,0,41,4.12102452594603
12.5,0,42,3.68996523038476
12.5,0,43,3.04441100424604
12.5,0,44,2.1739802983124
12.5,0,45,1.05450830676473
12.5,0,46,-0.358365401803254
12.5,0,47,-2.14334480347638
12.5,0,48,-4.44684013993236
12.5,0,49,-7.57569916906044
12.5,0,50,-12.3458437648398
12.5,0,51,-22.7752868526974
12.5,0,52,-21.3618667665188
12.5,0,53,-12.7292677742837
12.5,0,54,-8.81940470207994
12.5,0,55,-6.40332568208296
12.5,0,56,-4.74625044555946
12.5,0,57,-3.55794987682398
12.5,0,58,-2.69308453185243
12.5,0,59,-2.06799772381664
12.5,0,60,-1.62982272175487
12.5,0,61,-1.34280301219018
12.5,0,62,-1.18145726295282
12.5,0,63,-1.12684652131005
12.5,0,64,-1.16439012224784
12.5,0,65,-1.28251456981102
12.5,0,66,-1.47177770377645
12.5,0,67,-1.72427728679237
12.5,0,68,-2.03323649022277
12.5,0,69,-2.39270287580491
12.5,0,70,-2.79732200832814
12.5,0,71,-3.24216109625821
12.5,0,72,-3.72256670360767
12.5,0,73,-4.23404606233776
12.5,0,74,-4.77216519519131
12.5,0,75,-5.33245971632448
12.5,0,76,-5.9103562809705
12.5,0,77,-6.50110449170267
12.5,0,78,-7.09972080039249
12.5,0,79,-7.70094763145908
12.5,0,80,-8.29923254673556
12.5,0,81,-8.88873360657742
12.5,0,82,-9.46335785276906
12.5,0,83,-10.016839620873
12.5,0,84,-10.542863697459
12.5,0,85,-11.0352347627069
12.5,0,86,-11.4880889836228
12.5,0,87,-11.8961364667041
12.5,0,88,-12.2549156688339
12.5,0,89,-12.5610345858217
12.5,0,90,-12.8123706407901
12.5,0,91,-13.0082032998531
12.5,0,92,-13.1492609762248
12.5,0,93,-13.2376755409144
12.5,0,94,-13.2768511111734
