"Freq [GHz]","Phi [deg]","Theta [deg]","dB10normalize(GainTotal) []"
12.5,180,-180,-13.4931998732693
12.5,180,-179,-13.6691371078006
12.5,180,-178,-13.9796725480832
12.5,180,-177,-14.4282348013636
12.5,180,-176,-15.0207876045959
12.5,180,-175,-15.7663904794593
12.5,180,-174,-16.6781479723836
12.5,180,-173,-17.7747884916696
12.5,180,-172,-19.0833475596273
12.5,180,-171,-20.6439460075308
12.5,180,-170,-22.5189124433015
12.5,180,-169,-24.8119852626945
12.5,180,-168,-27.714779777336
12.5,180,-167,-31.6461308292987
12.5,180,-166,-37.8678865844334
12.5,180,-165,-58.610443292234
12.5,180,-164,-41.3548525572754
12.5,180,-163,-35.7208019189085
12.5,180,-162,-33.0400695459982
12.5,180,-161,-31.5711471455746
12.5,180,-160,-30.8075645462486
12.5,180,-159,-30.5364981885634
12.5,180,-158,-30.6541721458337
12.5,180,-157,-31.1092924507174
12.5,180,-156,-31.8823084388841
12.5,180,-155,-32.9787194955616
12.5,180,-154,-34.4309480633411
12.5,180,-153,-36.3102531382745
12.5,180,-152,-38.7594259501041
12.5,180,-151,-42.0873722744352
12.5,180,-150,-47.1313816180468
12.5,180,-149,-58.1589472439438
12.5,180,-148,-56.1235752930343
12.5,180,-147,-48.051707194845
12.5,180,-146,-44.5338304094632
12.5,180,-145,-42.5044998738792
12.5,180,-144,-41.2472923527122
12.5,180,-143,-40.4759788604909
12.5,180,-142,-40.046411784408
12.5,180,-141,-39.8761829523687
12.5,180,-140,-39.9152037105635
12.5,180,-139,-40.1333243538515
12.5,180,-138,-40.5149623205892
12.5,180,-137,-41.0572043461934
12.5,180,-136,-41.7701611608312
12.5,180,-135,-42.679588653125
12.5,180,-134,-43.8331052880953
12.5,180,-133,-45.3139754322221
12.5,180,-132,-47.2740159784899
12.5,180,-131,-50.0258642103987
12.5,180,-130,-54.3912106009793
