"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
12.5,0,97,-23.5943076252076
12.5,0,98,-23.4144421908754
12.5,0,99,-23.2038815785913
12.5,0,100,-22.9678777402822
12.5,0,101,-22.7113817397396
12.5,0,102,-22.4389589316917
12.5,0,103,-22.1547418233474
12.5,0,104,-21.8624133792836
12.5,0,105,-21.5652131719366
12.5,0,106,-21.2659593629772
12.5,0,107,-20.9670805802789
12.5,0,108,-20.6706529991538
12.5,0,109,-20.3784391330594
12.5,0,110,-20.0919258754877
12.5,0,111,-19.8123601688123
12.5,0,112,-19.5407813082232
12.5,0,113,-19.2780493427229
12.5,0,114,-19.0248693423439
12.5,0,115,-18.7818114937102
12.5,0,116,-18.5493270937031
12.5,0,117,-18.3277605572507
12.5,0,118,-18.1173575591099
12.5,0,119,-17.9182694057639
12.5,0,120,-17.7305536940319
12.5,0,121,-17.5541712677925
12.5,0,122,-17.3889794432025
12.5,0,123,-17.2347214469396
12.5,0,124,-17.0910120150401
12.5,0,125,-16.9573191498629
12.5,0,126,-16.832942153362
12.5,0,127,-16.7169862766276
12.5,0,128,-16.6083346852335
12.5,0,129,-16.5056189770369
12.5,0,130,-16.4071902385622
12.5,0,131,-16.311093602473
12.5,0,132,-16.2150504406069
12.5,0,133,-16.1164535816338
12.5,0,134,-16.0123820434596
12.5,0,135,-15.8996423273394
12.5,0,136,-15.7748427965157
12.5,0,137,-15.6345054645281
12.5,0,138,-15.4752152070039
12.5,0,139,-15.2938000159446
12.5,0,140,-15.0875282654706
12.5,0,141,-14.8543018093595
12.5,0,142,-14.5928194639101
12.5,0,143,-14.302686224946
12.5,0,144,-13.9844503216699
12.5,0,145,-13.6395617807287
12.5,0,146,-13.2702595321957
12.5,0,147,-12.8794054647953
12.5,0,148,-12.470290281382
12.5,0,149,-12.0464364911371
12.5,0,150,-11.6114193929248
12.5,0,151,-11.1687196732383
12.5,0,152,-10.7216136257949
12.5,0,153,-10.2731007079033
12.5,0,154,-9.82586396039478
12.5,0,155,-9.38225672916247
12.5,0,156,-8.94430868161664
12.5,0,157,-8.51374471707371
12.5,0,158,-8.09201149609782
12.5,0,159,-7.68030757820422
12.5,0,160,-7.2796143317712
12.5,0,161,-6.89072575713368
12.5,0,162,-6.51427611586145
12.5,0,163,-6.15076480249675
12.5,0,164,-5.80057826512091
12.5,0,165,-5.46400901785008
12.5,0,166,-5.14127192807346
12.5,0,167,-4.83251803375949
12.5,0,168,-4.53784617430007
12.5,0,169,-4.25731271874729
12.5,0,170,-3.9909396595023
12.5,0,171,-3.73872131531191
12.5,0,172,-3.50062985981929
12.5,0,173,-3.27661986397577
12.5,0,174,-3.06663201411964
12.5,0,175,-2.87059614337868
12.5,0,176,-2.68843369262867
12.5,0,177,-2.52005969858562
12.5,0,178,-2.36538439058614
12.5,0,179,-2.22431446398091
12.5,0,180,-2.09675408655944
12.5,180,-180,-2.09675408655944
12.5,180,-179,-2.22431446398091
12.5,180,-178,-2.36538439058614
12.5,180,-177,-2.52005969858562
12.5,180,-176,-2.68843369262867
